City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
401,tazmalt,5,DZ,1616048232,96,36.3868,4.3989,44.74,3.67
402,lompoc,1,US,1616048204,87,34.6391,-120.4579,48.2,3.44
403,touros,20,BR,1616048233,88,-5.1989,-35.4608,75.2,3.44
404,benalla,94,AU,1616048234,28,-36.55,145.9833,80.6,8.05
405,jabinyanah,20,TN,1616048234,66,35.035,10.9081,50,4.61
406,toguchin,100,RU,1616048235,92,55.2353,84.3858,17.8,11.54
407,aiken,90,US,1616048110,94,33.5835,-81.5998,63,5.75
408,eldorado,41,BR,1616048235,96,-23.7869,-54.2836,66.69,4.05
409,derzhavinsk,98,KZ,1616048236,70,51.1,66.3167,22.53,9.35
410,bay roberts,28,CA,1616048236,86,47.5999,-53.2648,19.99,7.58
411,boysun,68,UZ,1616048237,43,38.2061,67.1986,56.53,7
412,athens,20,GR,1616048027,57,37.9795,23.7162,51.01,7.11
413,santa marta,55,CO,1616048238,68,11.2408,-74.199,82,8.99
414,sabla,100,NG,1616048238,25,12.7525,4.7077,76.06,3.15
415,la romana,75,DO,1616048239,73,18.4273,-68.9728,75.2,9.22
416,bonavista,27,CA,1616048239,85,48.6499,-53.1147,18,9.22
417,sao paulo de olivenca,99,BR,1616048240,89,-3.3783,-68.8725,71.49,0.45
418,preobrazheniye,0,RU,1616048240,48,42.9019,133.9064,41.76,3.4
419,shumikha,100,RU,1616048241,75,55.2261,63.2961,20.57,13.58
420,gizo,13,SB,1616048241,70,-8.103,156.8419,83.53,2.71
421,bireun,12,ID,1616048242,71,5.203,96.7009,84.99,6.51
422,novobirilyussy,87,RU,1616048242,77,56.9514,90.6661,23.36,10.36
423,paysandu,62,UY,1616048242,80,-32.3214,-58.0756,57.99,3
424,mao,20,ES,1616048243,62,39.8885,4.2658,50,17.27
425,loubomo,98,CG,1616048243,94,-4.1997,12.6739,70.97,1.63
426,cayenne,20,GF,1616048244,83,4.9333,-52.3333,78.01,1.14
427,ust-kuyga,1,RU,1616048245,78,70.0167,135.6,-20,5.26
428,egvekinot,0,RU,1616048245,81,66.3167,-179.1667,-16.53,1.79
429,antofagasta,0,CL,1616048019,82,-23.65,-70.4,62.6,1.14
430,kuching,40,MY,1616048246,100,1.55,110.3333,77,8.05
431,san vicente,67,AR,1616048103,99,-26.6167,-54.1333,59.77,3.31
432,diffa,59,NE,1616048246,21,13.3154,12.6113,77.58,8.72
433,udala,87,ES,1616048247,97,43.0778,-2.5125,39,4.18
434,sembe,62,CG,1616048247,86,1.6481,14.5806,70,1.05
435,trincomalee,44,LK,1616048248,67,8.5711,81.2335,82.35,10.65
436,guerrero negro,0,MX,1616048133,78,27.9769,-114.0611,56.35,9.8
437,kieta,36,PG,1616048249,77,-6.2167,155.6333,82.78,2.28
438,laguna,75,US,1616048249,71,38.421,-121.4238,50,4.61
439,waipawa,40,NZ,1616048250,58,-41.4122,175.5153,63,14.97
440,ust-kan,80,RU,1616048251,68,50.9276,84.761,20.35,5.14
441,pacific grove,84,US,1616047991,82,36.6177,-121.9166,51.01,1.01
442,vao,95,NC,1616048112,78,-22.6667,167.4833,75.87,23.42
443,banda aceh,28,ID,1616048252,72,5.5577,95.3222,84.87,13.15
444,tessalit,0,ML,1616048253,32,20.1986,1.0114,61.47,3.8
445,soyo,36,AO,1616048253,84,-6.1349,12.3689,78.98,4.23
446,zhuhai,40,CN,1616048065,83,22.2769,113.5678,86,9.22
447,micheweni,88,TZ,1616048254,61,-4.9667,39.8333,85.46,0.74
448,powell,90,US,1616048255,82,40.1578,-83.0752,53.6,4.61
449,cairns,12,AU,1616048253,66,-16.9167,145.7667,86,11.5
450,juneau,75,US,1616048255,60,58.3019,-134.4197,37.4,4.99
451,athmallik,68,IN,1616048256,15,20.7219,84.5348,102,3.65
452,sinnamary,54,GF,1616048256,82,5.3833,-52.95,75.63,10.09
453,uvira,100,CD,1616048166,73,-3.4067,29.1458,75.67,5.7
454,old town,90,CZ,1616048257,86,50.087,14.4202,35.01,3.44
455,lac du bonnet,2,CA,1616048257,99,50.2536,-96.0612,27,2.95
456,falun,90,SE,1616048258,74,60.6036,15.626,28.4,8.05
457,ongole,29,IN,1616048258,42,15.5,80.05,90.46,11.41
458,nemuro,75,JP,1616048120,60,43.3236,145.575,33.8,13.8
459,chino valley,1,US,1616048259,61,34.7575,-112.4538,44.01,4.61
460,matara,100,LK,1616048259,60,5.9485,80.5353,85.05,0.96
461,stokmarknes,0,NO,1616047989,63,68.5646,14.9108,26.6,12.66
462,sosnovo-ozerskoye,100,RU,1616048260,79,52.5249,111.5418,21.06,5.86
463,ternate,95,ID,1616048260,70,0.8,127.4,85.08,5.99
464,laukaa,100,RU,1616048260,86,58.7372,29.8453,28.89,5.06
465,clyde river,1,CA,1616048137,63,70.4692,-68.5914,-22,3.44
466,victoria point,4,AU,1616048261,81,-27.5833,153.3,79,5.01
467,caiaponia,100,BR,1616048261,94,-16.9567,-51.8103,67.42,1.66
468,mul,88,IN,1616048262,22,20.0667,79.6667,97.92,6.69
469,cururupu,88,BR,1616048262,98,-1.8283,-44.8683,72.75,2.37
470,male,75,MV,1616048263,70,4.1748,73.5089,87.8,3.44
471,san cristobal,38,VE,1616048263,94,7.7669,-72.225,64.33,1.03
472,oshogbo,83,NG,1616048264,98,7.7667,4.5667,71.04,3.24
473,paracatu,95,BR,1616048264,91,-17.2222,-46.8747,65.21,1.25
474,san policarpo,36,PH,1616048265,73,12.1791,125.5072,84.54,9.28
475,milkovo,99,RU,1616048265,81,54.7167,158.6167,30.07,11.07
476,rawalpindi,7,PK,1616048266,43,33.6007,73.0679,77,8.01
477,boulsa,67,BF,1616048266,21,12.6675,-0.5758,74.91,3.94
478,vaitape,19,PF,1616048116,70,-16.5167,-151.75,82.9,9.42
479,krasnoselkup,55,RU,1616048267,92,65.7,82.4667,-6.56,10.31
480,linjiang,95,CN,1616048267,31,41.8069,126.9078,49.15,2.24
